0,1,2,3,4,5,6,7,tot
-1257.1,-17.3187,-23.30278333,-40.00256667,-11.63528333,-16.63696667,-280.00145,0.0,-1645.99775
-0.0,-13.8516,-4.4018,-9.568466667,-8.352016667,-13.05136667,-96.48458333,0.0,-145.709833334
-0.0,-10.8335,-2.166683333,-12.5667,-11.48345,-10.8335,-150.8004667,0.0,-198.684300033
-0.0,-13.0,-11.2668,-13.0,-12.5667,-12.35005,-149.7668833,0.0,-211.9504333
-0.0,-10.8335,-7.15015,-13.0,-13.0,-13.0,-136.00015,0.0,-192.98379999999997
-0.0,-12.35005,-0.0,-9.3168,-11.7001,-13.0,-170.6504167,0.0,-217.0173667
-0.0,-10.83343333,-0.0,-0.0,-1.083416667,-11.91675,-169.9836167,0.0,-193.817216697
-0.0,-0.0,-0.0,-0.0,-0.0,-7.800266667,-165.1669,0.0,-172.967166667
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-178.5834833,0.0,-178.5834833
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-197.7501833,0.0,-197.7501833
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-293.3174333,0.0,-293.3174333
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-359.9673167,0.0,-359.9673167
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929.3480467330014,1929.3480467330014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057.5752059629995,2057.5752059629995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2782.760774034,2782.760774034
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2730.3980500010002,2730.3980500010002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3977.3097812499996,3977.3097812499996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.38153770000014,339.38153770000014
-0.0,-0.0,-0.0,-0.8006,-0.0,-0.0,-351.1514,0.0,-351.952
-0.0,-11.801,-0.000583333,-12.53363333,-2.46685,-0.200216667,-398.4509333,0.0,-425.45321663
-211.3668333,-27.86851667,-3.201916667,-19.96945,-11.80016667,-9.884683333,-429.5003167,0.0,-713.59188334
-1368.567633,-82.81826667,-10.28695,-14.97051667,-52.0022,-36.6861,-353.5008667,0.0,-1918.8325330399996
-1624.33335,-39.46933333,-68.7694,-26.50365,-45.36985,-78.0859,-295.1839333,0.0,-2177.71541663
-1371.001167,-14.35293333,-69.55198333,-54.03661667,-28.73658333,-37.33616667,-230.8339833,0.0,-1805.84943363
-1259.266667,-6.202566667,-4.101483333,-47.20186667,-22.93566667,-16.06883333,-124.08423330000001,0.0,-1479.8613169700002
