Time,1,2,3,4,5,6,7,8
05/01/18 06,0,0,0,0,0,12.35005,193.0334167,2849.744505
05/01/18 07,0,0,0,0,0,3.4667,223.73355,141.4504618
05/01/18 08,0,0,0,0,0,0,229.10095,0.001083333
05/01/18 09,0,0,0,0,0,0,214.5518333,892.0836434
05/01/18 10,0,0,0,0,0,0,258.53565,3903.564948
05/01/18 11,0,0,0,0,0,0,306.55155,3893.363561
05/01/18 12,0,2.5354,0.001266667,0.001883333,0.934983333,10.00106667,295.06715,1289.756063
05/01/18 13,0,3.8684,15.40236667,6.002233333,3.60195,22.20111667,332.8171,0.000333333
05/01/18 14,0,0,0.000483333,3.33E-05,1.600033333,0,308.9339667,0
05/01/18 15,0,0,0,0,0,0,329.0003167,0.000616667
05/01/18 16,0,0,0,0,0,0,340.5669667,1194.637739
05/01/18 17,0,0,0,0,1.000333333,0,306.9171833,2286.463962
05/01/18 18,0,6.117866667,0.266666667,0.000766667,3.100466667,0.000216667,284.66735,711.4785133
05/01/18 19,253.06695,12.68523333,4.734616667,4.502766667,27.18445,30.46815,398.7342167,0.000533333
05/01/18 20,1453.00105,21.38636667,16.83598333,66.83558333,22.68733333,73.60108333,316.53425,0
05/01/18 21,1587.66705,51.73646667,37.03641667,49.85341667,27.13673333,16.70411667,228.3014833,0
05/01/18 22,1326.0016,82.63553333,80.80176667,23.88646667,76.6196,20.67053333,283.6179333,0
05/01/18 23,1201.633333,19.93591667,10.0032,27.35181667,37.52051667,14.38621667,197.0018167,0
06/01/18 00,0,9.217983333,5.751433333,18.2687,28.01873333,0.001683333,119.5003667,0
06/01/18 01,0,9.9668,10.4002,13,12.1334,4.7667,139.4842667,0
06/01/18 02,0,12.5667,12.1334,13,11.2668,13,139.2175167,0
06/01/18 03,0,12.78335,11.05015,13,12.5667,10.8335,129.2674667,0
06/01/18 04,0,11.7001,11.2668,13,10.8335,7.1501,135.7005333,0.000683333
06/01/18 05,0,9.5336,11.48345,11.91675,12.78335,0,171.9167,519.5310671
06/01/18 06,0,0,10.4002,6.066783333,3.68335,0,182.7502833,3526.859767
06/01/18 07,0,0,2.166683333,0,0,0,169.6338667,2606.247488
06/01/18 08,0,0,0,0,0,0,235.01845,222.2564878
06/01/18 09,0,0,0,0,0,0,266.6516833,715.7068189
06/01/18 10,0,0,0,0,0,0,314.9690167,2398.934782
06/01/18 11,0,0,0,0,0,0,331.7009833,4435.527458
06/01/18 12,0,4.26835,0.000533333,1.73475,29.0009,0.000966667,262.8336667,2895.402011
06/01/18 13,0,24.06838333,21.00238333,24.4017,38.00153333,2.40175,266.5005667,142.4118665
06/01/18 14,0,0.667,6.000383333,0.000466667,0,0.000383333,333.06755,0
06/01/18 15,0,0,0,0,0,0,369.0837167,0.0012
06/01/18 16,0,0,0,0,0,0.000766667,363.4181,691.9350483
06/01/18 17,0,2.000216667,0,0,0,0.767283333,348.5694833,2053.515404
06/01/18 18,0,2.867266667,4.785016667,0.300466667,0.00065,2.0003,462.7183667,1338.627496
06/01/18 19,70.63376667,18.38476667,9.669233333,18.8341,2.001933333,7.070383333,328.3030167,183.3509586
06/01/18 20,1359.534317,38.3521,23.06978333,20.16883333,27.08686667,76.15226667,315.3361333,0
06/01/18 21,1609.3335,37.03633333,63.10281667,38.90338333,34.06915,41.33648333,305.6351833,0
06/01/18 22,1377.667517,47.96988333,21.65321667,16.72063333,24.11921667,46.01931667,281.3688333,0
06/01/18 23,1257.1,17.3187,23.30278333,40.00256667,11.63528333,16.63696667,280.00145,0
07/01/18 00,0,13.8516,4.4018,9.568466667,8.352016667,13.05136667,96.48458333,0
07/01/18 01,0,10.8335,2.166683333,12.5667,11.48345,10.8335,150.8004667,0
07/01/18 02,0,13,11.2668,13,12.5667,12.35005,149.7668833,0
07/01/18 03,0,10.8335,7.15015,13,13,13,136.00015,0
07/01/18 04,0,12.35005,0,9.3168,11.7001,13,170.6504167,0.000166667
07/01/18 05,0,10.83343333,0,0,1.083416667,11.91675,169.9836167,2043.778246
07/01/18 06,0,0,0,0,0,7.800266667,165.1669,1344.588004
07/01/18 07,0,0,0,0,0,0,178.5834833,1705.372827
07/01/18 08,0,0,0,0,0,0,197.7501833,592.2851293
07/01/18 09,0,0,0,0,0,0,293.3174333,1610.38625
07/01/18 10,0,0,0,0,0,0,359.9673167,3756.474249
07/01/18 11,0,0,0,0,0,0,353.8674167,3067.605806
07/01/18 12,0,0.0005,2.400783333,2.134066667,38.00116667,0.000566667,307.1001667,1453.387544
07/01/18 13,0,0.00255,1.202633333,6.469033333,3.3355,11.7356,305,221.5939093
07/01/18 14,0,0.000433333,0.0005,0.000483333,0.000433333,1.2001,305,0
07/01/18 15,0,0,0,0,0,0,305,98.09021875
07/01/18 16,0,0,0,0.43375,0,0,313.6668833,1613.617829
07/01/18 17,0,0,0,0.8006,0,0,351.1514,3312.271905
07/01/18 18,0,11.801,0.000583333,12.53363333,2.46685,0.200216667,398.4509333,688.6124585
07/01/18 19,211.3668333,27.86851667,3.201916667,19.96945,11.80016667,9.884683333,429.5003167,0.000166667
07/01/18 20,1368.567633,82.81826667,10.28695,14.97051667,52.0022,36.6861,353.5008667,0
07/01/18 21,1624.33335,39.46933333,68.7694,26.50365,45.36985,78.0859,295.1839333,0
07/01/18 22,1371.001167,14.35293333,69.55198333,54.03661667,28.73658333,37.33616667,230.8339833,0
07/01/18 23,1259.266667,6.202566667,4.101483333,47.20186667,22.93566667,16.06883333,124.0842333,0
