Time,1,2,3,4,5,6
01/01/18 21,34.5195,40.836316666666676,37.21973333333334,192.75396666666668,297.7518,143.93771666666672
01/01/18 22,30.00293333333333,55.386883333333344,59.46881666666666,187.91928333333334,286.4839166666667,198.73663333333334
01/01/18 23,7.136483333333331,20.151766666666667,40.90233333333334,90.33643333333333,144.0189666666666,141.70294999999993
02/01/18 00,16.06875,3.8515999999999995,0.0018,100.96906666666665,128.95196666666666,168.13653333333335
02/01/18 01,7.8004,12.78335,10.183433333333335,68.33415,146.4008666666667,171.91678333333337
02/01/18 02,13.0,11.483450000000001,12.35005,83.43351666666666,196.51706666666666,152.75005000000002
02/01/18 03,11.91675,7.8004,12.1334,54.31708333333334,161.50036666666668,111.58381666666668
02/01/18 04,9.9669,10.183549999999999,13.0,83.43348333333333,220.00026666666665,130.75055
02/01/18 05,13.0,2.8167833333333334,12.78335,66.217,190.80076666666668,187.0836666666667
02/01/18 06,5.416733333333334,0.0,3.68345,99.20036666666668,200.4171166666667,238.68370000000002
02/01/18 07,0.0,0.0,0.0,92.25048333333332,282.80093333333326,199.58465000000004
02/01/18 08,0.0,0.0,0.0,135.0,363.1001666666667,269.9166833333333
02/01/18 09,0.0,0.0,0.0,135.0,349.8676666666667,272.5834666666667
02/01/18 10,0.0,0.0,0.0,135.0,322.51813333333325,269.9167166666667
02/01/18 11,0.0,0.0,0.0,135.0,331.50015,265.26938333333334
02/01/18 12,4.000333333333333,0.0014500000000000003,3.0011666666666668,135.0,298.9336333333333,337.7680333333334
02/01/18 13,22.735499999999995,12.002583333333328,14.735899999999997,128.33336666666668,285.08345,276.5355166666667
02/01/18 14,0.0007333333333333333,2.800433333333333,0.0010666666666666667,124.16688333333332,305.0,270.80185
02/01/18 15,0.0,0.0,0.0,115.00009999999999,297.5004166666667,270.0
02/01/18 16,0.8334166666666666,0.0,0.8000666666666666,135.0,305.20163333333335,269.9166833333333
02/01/18 17,1.70015,0.0,3.300116666666667,135.0,313.46845,279.5833666666667
02/01/18 18,11.533616666666667,13.0006,3.2006500000000004,136.16833333333332,439.15128333333337,245.41738333333336
02/01/18 19,27.884116666666664,40.684566666666676,20.134533333333334,57.76991666666666,468.5669333333334,253.43506666666664
02/01/18 20,28.402833333333326,16.0701,18.01918333333333,89.1038833333333,496.6503000000001,164.5693166666667
02/01/18 21,66.05260000000001,24.7033,46.735850000000006,119.86925000000004,403.3516,227.36954999999998
