Battery 1,Battery 2,Battery 3,Battery 4
100.0,98.67017348659004,96.04979892720307,100.0
83.9447743908046,93.82202344827587,91.31184965517242,97.03400475095786
75.21756786758621,86.941202605364,85.71392858237549,91.43608367816093
75.21756648827586,79.85278544061305,79.71758498084291,85.43974007662835
75.21756648827586,72.57264214559389,73.36194191570881,79.08409701149425
75.21756648827586,64.44941670498086,66.1308646743295,71.85301977011494
75.21756648827586,57.96864888888891,58.89889363984674,64.62104873563219
75.21756648827586,53.80467785440615,54.899769501915706,60.62192459770115
75.21756648827586,50.394911264367835,52.414114942528734,58.13627003831418
75.21756648827586,46.019726436781625,49.71310390804597,55.43525900383142
75.21756648827586,42.00530758620691,46.21852996168582,51.94068505747126
75.21756648827586,37.74399310344829,42.12058942528735,47.842744521072795
75.21756081777471,33.41156383141764,37.72487601532566,43.44703111111111
73.25342993041839,28.34182758620691,33.72885072796934,39.451005823754784
56.350039622372414,22.83791095785442,29.828003371647497,35.550158467432944
52.12568950742988,17.42195892720308,25.757760459770104,32.42704199233716
71.42850636566436,15.425017931034496,24.045493793103436,34.95385578544061
100.0,21.607074536392346,24.045493793103436,42.917296551724135
100.0,68.35403095631571,27.70413180076627,55.04811846743295
100.0,75.01608474941916,78.12850576888889,68.64880567049809
