Nanogrid 1,Nanogrid 2,Nanogrid 3,Nanogrid 4
0,-8.725606293467728e-09,-1.1506065028196703e-08,0
-1.009846557379819e-07,-6.648665951987641e-09,-9.8156423664315e-09,-9.815499684892455e-09
-1.6551999560374765e-08,-7.826008035390528e-09,-1.2961335741475771e-08,-1.2961287412222512e-08
-2.7482193470844186e-15,-7.459773072789297e-09,-1.2028999684225101e-08,-1.2028952547865216e-08
-2.5705841792546993e-15,-7.169561232667041e-09,-7.505436350896468e-09,-7.505407996387844e-09
-2.5705841792546993e-15,-7.538747234946425e-09,-7.583178976170364e-09,-7.583150660665607e-09
-2.5705841792546993e-15,-4.638217573699676e-09,-9.522151247076906e-09,-9.522113683814389e-09
-2.5705841792546993e-15,-1.968952555396669e-09,-3.898556666737326e-09,-3.898541593668379e-09
-2.5705841792546993e-15,-1.7200933731499204e-09,-2.1899490677958247e-09,-2.1899404282010203e-09
-2.5705841792546993e-15,-2.757024460865545e-09,-1.897774751981844e-09,-1.8977680418543314e-09
-2.5705841792546993e-15,-2.6399180969295105e-09,-3.1320657672764283e-09,-3.132053017942684e-09
-2.5705841792546993e-15,-2.999513765173755e-09,-4.747598442547171e-09,-4.747579633504503e-09
-2.7482193485642562e-15,-2.8983116371882944e-09,-5.797491213117361e-09,-5.7974681951736965e-09
-8.383592815075056e-10,-4.355299673393918e-09,-5.578599188076386e-09,-5.578577385596793e-09
-6.209575314689607e-08,-5.8660161643914426e-09,-7.078928100933697e-09,-7.078901363857089e-09
-2.0232091305334193e-08,-7.85669654009594e-09,-1.0143198282552209e-08,-9.995685354083912e-09
-1.5362801838954824e-09,-8.801114014686538e-09,-1.0427253364776667e-08,-7.728555693914852e-09
0,-0.0003424723898431161,-6.584570095382725e-05,-1.114798091298496e-08
0,-0.004469484120922471,-3.9821248392932836e-08,-9.095353435990397e-09
0,-8.7715467620702e-09,-0.004722226556909487,-9.323033038195198e-09
0,-0.0019324215721413314,-0.0011081128154141887,-0.0020760585893229828
